City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,egvekinot,66.3167,-179.1667,264.52,89,100,3.25,RU,1670015467
84,manzanillo,20.3433,-77.1167,302.7,45,3,8.55,CU,1670015376
85,arlit,18.7369,7.3853,297.29,17,75,3.28,NE,1670015468
86,saint-philippe,-21.3585,55.7679,295.92,78,9,2.3,RE,1670015468
87,brae,60.3964,-1.353,281.44,82,100,9.6,GB,1670015468
88,ishigaki,24.3448,124.1572,297.57,85,88,6.0,JP,1670015468
89,sanchursk,56.9413,47.2499,253.32,99,25,1.72,RU,1670015468
90,calvinia,-31.4707,19.776,283.28,54,72,1.61,ZA,1670015469
91,khatanga,71.9667,102.5,258.41,96,97,2.81,RU,1670015469
92,dalbandin,28.8947,64.4101,284.24,42,0,3.48,PK,1670015469
93,georgetown,5.4112,100.3354,299.39,89,20,0.0,MY,1670015404
94,puerto ayora,-0.7393,-90.3518,299.13,86,86,3.58,EC,1670015470
95,henties bay,-22.116,14.2845,288.89,89,2,4.34,NA,1670015470
96,yangcun,39.3639,117.0603,268.14,26,47,3.76,CN,1670015470
97,avenal,36.0041,-120.129,283.02,57,100,2.08,US,1670015470
98,torbay,47.6666,-52.7314,275.79,69,19,2.68,CA,1670015471
99,sitka,57.0531,-135.33,274.09,37,0,1.54,US,1670015471
100,agadir,30.4202,-9.5982,290.4,84,0,3.76,MA,1670015261
101,albany,42.6001,-73.9662,277.72,55,25,0.45,US,1670015471
102,ca mau,9.1769,105.15,297.12,92,100,4.32,VN,1670015472
103,semey,50.4111,80.2275,248.02,99,25,1.21,KZ,1670015472
104,vao,-22.6667,167.4833,298.9,88,100,2.68,NC,1670015472
105,salihli,38.4826,28.1477,285.58,86,57,0.67,TR,1670015449
106,rio gallegos,-51.6226,-69.2181,291.18,24,20,20.58,AR,1670015332
107,yeppoon,-23.1333,150.7333,294.03,73,10,7.08,AU,1670015472
108,yellowknife,62.456,-114.3525,240.68,67,65,1.79,CA,1670015419
109,saskylakh,71.9167,114.0833,260.67,95,100,5.24,RU,1670015238
110,yar-sale,66.8333,70.8333,262.52,93,98,4.7,RU,1670015473
111,tomatlan,19.9333,-105.25,305.01,50,0,3.72,MX,1670015473
112,paamiut,61.994,-49.6678,274.68,96,100,18.03,GL,1670015474
113,ambilobe,-13.2,49.05,296.85,90,94,1.11,MG,1670015474
114,rawson,-43.3002,-65.1023,301.96,26,83,9.68,AR,1670015474
115,pizarro,4.9533,-77.366,297.74,89,99,5.04,CO,1670015474
116,east london,-33.0153,27.9116,290.67,59,55,9.03,ZA,1670015284
117,nizhniy odes,63.6445,54.856,262.43,97,99,1.9,RU,1670015475
118,ketchikan,55.3422,-131.6461,272.41,40,0,2.57,US,1670015475
119,nanortalik,60.1432,-45.2371,274.92,96,100,10.45,GL,1670015475
